Company Name,Title,Role,Role url,Localisation,Type,Level,Description,Country,Region,City
Penn State University,Machine Learning Engineer,Machine Learning,https://www.linkedin.com/jobs/view/3434275319/?alternateChannel=search&refId=S%2F7dKrDxM%2FiwWxj6Q7Fi5A%3D%3D&trackingId=3GL%2BAd4zK77Ed6s5ahOF%2Bw%3D%3D&trk=d_flagship3_search_srp_jobs,"University Park, PA",Pelny etat,Poczatkujacy,"APPLICATION INSTRUCTIONS:

CURRENT PENN STATE EMPLOYEE (faculty, staff, technical service, or student), please login to Workday to complete the internal application process. Please do not apply here, apply internally through Workday.
CURRENT PENN STATE STUDENT (not employed previously at the university) and seeking employment with Penn State, please login to Workday to complete the student application process. Please do not apply here, apply internally through Workday.
If you are NOT a current employee or student, please click “Apply” and complete the application process for external applicants.

JOB DESCRIPTION AND POSITION REQUIREMENTS:

We are searching for a Machine Learning Engineer to join our Sensor Analysis and Data Modeling Department at the Applied Research Laboratory (ARL) at Penn State University. ARL/Penn State’s purpose is to develop innovative solutions to challenging problems in support of the Navy, Department of Defense, and Intelligence communities’ engineering and technology needs. The successful candidate will join a group of scientists and engineers working on next-generation sonar systems for a range of underwater applications. Our group’s research areas include synthetic aperture sonar image formation, acoustic navigation techniques, acoustic remote sensing, and sonar image classification.

You will:

Implement and apply modern data science techniques to a wide variety of information extraction problems, on both small- and large-scale sensed datasets.
Analyze and collect sonar data produced by cutting edge sensors, including time series, two- and three-dimensional acoustic images, and non-image-based representations.
Collaborate with experts in hardware development, physics-based modeling, signal and image processing, machine learning, and embedded software engineering to develop cross-disciplinary solutions.
Have the opportunity to work on cutting-edge sensors that are developed by this laboratory and by industry, and that are deployed in the Navy.
Be provided with unique research opportunities to customize the workflow from hardware design through perception, in order to shape the information that is exploited in the perception stage.

This job will be filled as a level 2 or level 3, depending upon the successful candidate’s competencies. Minimally requires a Bachelor’s degree or higher in Engineering or Science disciplines, plus 2 years related experience for a level 2. Additional experience and/or education required for higher-level jobs.

Additional responsibilities for a level 3 includes:

Some exposure/knowledge of acoustics and signal processing.
Creating and deploying Pytorch/TensorFlow pipelines, Python/R/Julia, and high-performance computing.
Mentor and train employees in the advancement of technical, project, and business-development skills.
Contribute to proposals, reports and presentations.

Required skills/experience areas include:

Algorithm development.
Strong mathematics skill set.
Exposure to data science either through coursework, projects or internships.
Contributions to the design, development, implementation, and analysis of data science, artificial intelligence (AI), and machine learning (ML) products, systems and subsystems.
Experience investigating and evaluating practical applicability of data science and AI/ML techniques for the development and improvement of various engineering systems.
Solid understanding of engineering practices and principles, along with the underlying knowledge of mathematics and physics.

Preferred skills/experience areas include:

Knowledge of neural network design for remote sensing and/or data imbalanced classification problems.
Programming in Matlab, Python, R or SQL.
Machine learning and data visualization.
Active government security clearance.

Additional skills and experience:

Publications in peer-reviewed journals and conference proceedings along with student engagement will be encouraged.
Excellent oral and written communication skills, and an ability to present to groups and potentially sponsors.
Occasional travel to support testing and to attend meetings as necessary.

Your working location will be fully on-site, located in State College, PA. This position will require periodic travel to remote locations in support of testing as part of a small team of researchers, engineers, and technologists.

ARL at Penn State is an integral part of one of the leading research universities in the nation and serves as a University center of excellence in defense science, systems, and technologies with a focus on naval missions and related areas.

You will be subject to a government security investigation, and you must be a U.S. citizen to apply. Employment with the ARL will require successful completion of a pre-employment drug screening.

ARL is committed to diversity, equity, and inclusivity; we believe this is central to our success as a Department of Defense designated University Affiliated Research Center (UARC). We are at our best when we draw on the talents of all parts of society, and our greatest accomplishments are achieved when diverse perspectives are part of our workforce.

FOR FURTHER INFORMATION on ARL, visit our web site at www.arl.psu.edu.

CAMPUS SECURITY CRIME STATISTICS:

Pursuant to the Jeanne Clery Disclosure of Campus Security Policy and Campus Crime Statistics Act and the Pennsylvania Act of 1988, Penn State publishes a combined Annual Security and Annual Fire Safety Report (ASR). The ASR includes crime statistics and institutional policies concerning campus security, such as those concerning alcohol and drug use, crime prevention, the reporting of crimes, sexual assault, and other matters. The ASR is available for review here.

Employment with the University will require successful completion of background check(s) in accordance with University policies.

EEO IS THE LAW

Penn State is an equal opportunity, affirmative action employer, and is committed to providing employment opportunities to all qualified applications without regards to race, color, religion, age, sex, sexual orientation, gender identify, national origin, disability or protected veteran status. If you are unable to use our online application process due to an impairment or disability, please contact 814-865-1473.

Federal Contractors Labor Law Poster

PA State Labor Law Poster

Penn State Covid-19 Vaccination or Testing Requirements

Penn State is committed to the health of our local and global communities. As a condition of employment, all employees are required to comply with COVID-19 vaccination or testing requirements. Click on Penn State Covid-19 Vaccination or Testing Requirements to learn about the requirements as well as general COVID-19 information at Penn State.

Affirmative Action

Penn State Policies

Copyright Information

Hotlines

University Park, PA",USA,PA,University Park
In-Q-Tel,Machine Learning Engineer,Machine Learning,https://www.linkedin.com/jobs/view/3429616380/?alternateChannel=search&refId=DsQZr7vmb6onWuljr8pcxQ%3D%3D&trackingId=Y4%2B7zW3GcXSqxyLhyT1TsQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Arlington, VA",Pelny etat,Poczatkujacy,"Overview

Company Overview:

In-Q-Tel (IQT) is a not-for-profit that serves and powers the national security interests of the U.S. and its allies, providing the most sophisticated source of strategic technical knowledge, insights, and capabilities. IQT powers its partners ahead of the curve through cutting-edge research, strategic investments, exploration and applied research, and acceleration of capabilities

Benefit Overview:

IQT understands that life is more than your 9-5. We offer a wide variety of benefits designed to support the whole person including but not limited to:
Health, Dental, & Vision Insurance
401k Plan
Unlimited Time Off
Tuition & Professional Development Assistance
Student Loan Repayment & College Savings
Parental Leave
Family Forming Support
Child/Elder Care Support
Gym Stipend
Wellness Perks
Telework & Flexible Schedule

Visit our website to learn more.

Job Overview:

As an Engineer at IQT Labs, you will join a multidisciplinary team of builders addressing problems of national interest. IQT Labs is focused on the application of emerging, open-source technologies to national security mission challenges. We take a hands-on, rapid-prototyping approach to our work.

Many design constraints are changing when it comes to electronics and AI systems, allowing faster development and fielding than ever before. We leverage open-source components and information and the growing Maker movement to demonstrate the effectiveness of fast, affordable, and open-source hardware and software systems. This hands-on approach to discovery allows us to learn key insights with the design, development, and testing of such systems. Our prototypes and technology demonstrators are built to be brought into the field for testing and evaluation. Regular testing in the real world is a fundamental component of our work.

Collaboration is non-negotiable. You’ll be work on a cross-functional team to develop tools and prototypes against customer mission challenges. The team operates on a rapid prototyping philosophy – rapidly building out an idea to assess its merits is our primary method of assessing which ideas are worth pursing more deeply. This requires a multi-disciplinary approach - developing hardware and software development and systems integration. This role includes work in all phases of a project life cycle, including design, development, testing, and assessment.

Responsibilities
Technical ML Engineering on projects across IQT Labs
Quickly develop hardware/software proofs of concepts and prototypes
Define requirements for data collection systems to support model generation
Work with systems team to understand limitations of compute platforms and create ML models to accommodate
Provide quantitative performance metrics for models generated
Assist with the strategy of long-term tech development priorities
Create summary documentation and briefing material for projects
Generate ideas for follow-on projects and work
Present findings via customer briefings, blog posts, and publications, as appropriate.
Contribute to the development and maintenance of IQTLabs open-source projects.

Qualifications
Fast learner who enjoys applying skills in a multi-disciplinary way across multiple projects concurrently. Able to quickly assess merits of an approach and change directions as necessary to attain a desired goal.
Self-Motivated contributor with a Team-focused mentality
Experience with integration and fielding phases of projects
Hands-on experience developing and deploying AI Systems on small computers (Raspberry Pi, Coral, microprocessor, etc.),
Experience balancing needs across multiple technical and programmatic stakeholders
Strong Python programming skills
Strong written and verbal communication skills
At least a bachelor’s degree in an Engineering, Computer Science, or related discipline or equivalent experience

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.",USA,VA,Arlington
Diverse Lynx,Junior Machine Learning Developer,Machine Learning,https://www.linkedin.com/jobs/view/3437368142/?alternateChannel=search&refId=xONJcjSPosCZZEiDmH6R9w%3D%3D&trackingId=CVcmZp1H6mc9nTaIA71iXg%3D%3D&trk=d_flagship3_search_srp_jobs,"Nowy Jork, NY",Pelny etat,Poczatkujacy,"Job Description

Skills required: Exp 2-4 years

Knowledge on Big Data
Knowledge of Machine Learning Models
Knowledge/Experience of at least building 1 Client Model
Advantage to have knowledge of Java
Plus to have knowledge of NLP/NLU

Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.",USA,NY,Nowy Jork
Diverse Lynx,Machine Learning(ML) Engineer,Machine Learning,https://www.linkedin.com/jobs/view/3437356817/?alternateChannel=search&refId=r4xCNr%2Fv5frnYikD1CqwtA%3D%3D&trackingId=Xr81D%2F2EOw9Pj6f2YQQbyg%3D%3D&trk=d_flagship3_search_srp_jobs,"San Jose, CA",Pelny etat,Poczatkujacy,"Job Description

Job Title: Machine Learning(Client) Engineer

Location: Mountain View, CA / San Jose, CA

Duration: Fulltime

Strong in Machine Learning(Client)

Job Description

Skill-set Ask: strong in Python programming, NLP, Pandas, Regression and Oracle DB knowledge

Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.",USA,CA,San Jose
Diverse Lynx,Junior Machine Learning,Machine Learning,https://www.linkedin.com/jobs/view/3437354913/?alternateChannel=search&refId=WMVIBYSbEc7cSKX%2B%2FCEUdA%3D%3D&trackingId=T76uYvyGn2STIjVL4J1IDw%3D%3D&trk=d_flagship3_search_srp_jobs,"Nowy Jork, NY",Pelny etat,Poczatkujacy,"Job Description

Role: Junior Machine Learning

Location: NYC

Type: Fulltime

No of Positions: 2

Skills Required
Big Data
Python
Machine Learning Models
Knowledge/Experience of at least building 1 Client Model
Advantage to have knowledge of Java
Plus to have knowledge of NLP/NLU
Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.",USA,NY,Nowy Jork
Lockheed Martin,AI & Machine Learning Engineer Staff,Machine Learning,https://www.linkedin.com/jobs/view/3437941786/?alternateChannel=search&refId=WMVIBYSbEc7cSKX%2B%2FCEUdA%3D%3D&trackingId=Wt22AmlOux5eWV%2FdjwMTGg%3D%3D&trk=d_flagship3_search_srp_jobs,"Titusville, FL",Pelny etat,Poczatkujacy,"The coolest jobs on this planet… or any other… are with Lockheed Martin Space.

For over 60 years, the Fleet Ballistic Missile (FBM) team has supported the Navy’s mission to provide affordable and credible strategic defense. We offer unique career opportunities and challenges on a program with a rich history and exciting future. We help keep this nation and our allies secure. The FBM Program is experiencing significant growth and we need your expertise to deliver amazing new technologies to our customers while maintaining the technical requirements of the strategic deterrence.

Learn about the Trident II D5 Fleet Ballistic Missile.

We have an immediate opportunity for a dynamic, hardworking career level Autonomy and Artificial Intelligence (A/AI) Machine Learning (ML) Engineer who wants to join our mission.

As An A/AI Machine Learning Engineer, You Will

Work on a team of A/AI ML engineers in the Fleet Ballistic Missile SEIT organization
Engage with technical users to identify opportunities to drive use cases for AI/ML
Create innovative solutions to complex analysis requirements
Engage in critical design reviews and provide insights into alternate design choices
Develop machine learning components and apply these to anomaly detection
Plan, conduct, develop, and operationalize machine learning models on datasets that include time-series, text, etc.
Conduct statistical analysis, set up experiments, formulate hypothesis and evaluate statistical significance to identify meaningful insights, communicate findings and provide recommendations
Maintain awareness of emerging analytics technologies
Craft whitepapers, research papers, follow industry trends in Machine learning and AI to integrate solutions

To promote the sharing of ideas, Lockheed Martin cultivates an inclusive work environment that inspires differences and big-picture thinking.

Here Are Some Of The Benefits You Can Enjoy

Our employees play an active role in strengthening the quality of life where we live and work by volunteering more than 850,000 hours annually.

Medical
Dental
401k
Paid time off
Work/life balance
Career development
Mentorship opportunities
Rewards & recognition",USA,FL,Titusville
Belcan,Machine Learning Engineer,Machine Learning,https://www.linkedin.com/jobs/view/3427821849/?alternateChannel=search&refId=wk%2BDfFlVIwH907QPMn4%2BRg%3D%3D&trackingId=HA8y%2BG5FW1DUoSKskKMIeg%3D%3D&trk=d_flagship3_search_srp_jobs,"Mountain View, CA",Pelny etat,Poczatkujacy,"Details

Job Title: Machine Learning Engineer

Pay Rate: $70 / hr

Location: Mountain View, CA

Area Code: 650

ZIP Code: 94043

Start Date: Right Away

Keywords: #EngineerJobs #Automotive

Benefits
Medical / Health Benefits with multiple plan options, Flexible Spending Accounts, Dental and Vision / glasses / prescription contact lens and eye test options available.
On the job training / cross-training to develop and expand skills, creating opportunity for advancement and personal development. Tuition reimbursement available for relevant development opportunities.
Life Insurance, disability insurance, and voluntary life insurance for family members available. Accident and critical illness insurance optional.
Scheduled performance reviews create opportunities for advancement and pay increases.
We have many success stories from individuals who took advantage of the training, cross-training, and personal development opportunities for advancement. We also have success stories of individuals who desired a reliable, scheduled and consistent career with appropriate work-life balance, health benefits and good job security. Whichever way you define success, this work culture cares about team members and treats each individual with dignity, inclusion, respect and recognition.
A Referral Program compensates active employees for referring friends and former colleagues when the referral results in hiring the person. Our team has grown with referrals and internal promotions.
Responsibilities
Implement machine learning/ deep learning models (supervised learning, reinforcement learning) for the following tasks: 2D/3D object detection, semantic segmentation, depth estimation, traffic (time or speed) prediction and driving behavioral learning etc.
Train and evaluate the developed machine learning model from large set of images/videos, build end-to-end training, testing, and evaluation pipelines.
Manipulate high-volume, high-dimensionality, structured data from the vehicles for training and testing deep networks.
Produce high quality tested code that enables large scale research and can be transferred to physical vehicles deployed in the real world.
Stay up to date on the state-of-the-art in Deep Learning ideas and software, in collaboration with our Researchers.
Coding, proof-of-concept (POC) and demo deep learning applications with our test vehicle platform.
Work in a multidisciplinary team and collaborate with other teams across the research lab.
Requirements
Master's Degree in Computer Science/Electrical Engineering, Math, or related field.
1-2 years of experience; Strong software engineering practices in Python with machine learning experience in a production setting.
Strong Machine Learning background with deep understanding of different types of machine learning algorithms (e.g., CNN, RNN, LSTM, Transformer, and Reinforcement Learning).
Experience of training deep-learning models in an end-to-end fashion.
Project experience working with Pytorch, Tensorflow or other modern deep learning frameworks.
Computer Vision expertise.
Proficient in Python and Linux is a minimum.
Clear grasp on basic Linear Algebra, Optimization, Statistics, and Algorithms.
Familiar with Python development co-system including opencv, numpy, scipy, pandas, sklearn etc and comfortable with development in Linux and Windows.
Familiar with containers
Excellent verbal and written communication skills
Desired
Implemented state-of-the-art models from research papers (share paper/repos if you can).
Experience with Deep Reinforcement Learning, Multi-agent distributed reinforcement learning
Experience with computer vision and large-scale distributed training.
Publication in robotics/ML/CV conference
Additional knowledge of C++ / CUDA is a plus, experience with AWS as well.
If you are interested in this role, please apply via the apply now link provided. Our overriding goal is to provide quality staffing solutions that help people, organizations, and communities succeed. Belcan is a team-driven Equal Opportunity Employer committed to workforce diversity. For more information, please visit our website at http://www.belcan.com

Belcan is a leading provider of qualified personnel to many of the world's most respected enterprises. We offer excellent opportunities for contract/temporary, temp-to-hire, and direct assignments in the engineering, IT, and professional fields. We are the employer of choice for thousands worldwide. Our overriding goal is to provide quality staffing solutions that help people, organizations, and communities succeed. Belcan is a team-driven Equal Opportunity Employer committed to workforce diversity. For more information, please visit our website at http://www.belcan.com.",USA,CA,Mountain View
Diverse Lynx,Software Engineer (Python + Machine learning),Machine Learning,https://www.linkedin.com/jobs/view/3437363023/?alternateChannel=search&refId=wk%2BDfFlVIwH907QPMn4%2BRg%3D%3D&trackingId=g7c8tOvPjQM51qdrLzu1pg%3D%3D&trk=d_flagship3_search_srp_jobs,"Mountain View, CA",Pelny etat,Poczatkujacy,"Job Description

Job Role : Software Engineer (Python &plus; Machine learning)

Job Location: Mountain View CA

Full Time Only

Job Description

Strong experience with Python.
Strong debugging skills working in diversified environments.
Knowledge on Tensorflow and its various sub components.
Experience with GitHub and Stackoverflow.

Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.",USA,CA,Mountain View
Diverse Lynx,Machine Learning Engineer,Machine Learning,https://www.linkedin.com/jobs/view/3437354943/?alternateChannel=search&refId=wk%2BDfFlVIwH907QPMn4%2BRg%3D%3D&trackingId=ilMm1vBPNj%2FbMLidVWYSFw%3D%3D&trk=d_flagship3_search_srp_jobs,"Austin, TX",Zlecenie,Poczatkujacy,"Job Description

Title: Client Engineer who can read and speak Chinese

Location: Austin, TX

Duration : Contract

Start Date : ASAP

Availability : Immediate

No of position : 1

Note : We are able to sponser Visa this time.Need consultant who can work with Any employer.

Day To Day Tasks

Explore datasets using various statistical methods and see which signals can be extracted from the data.
Create clever new features from NLP-based datasets, and train new models using them.
Work with team members to assist with data-related technical issues and support their data product need

Required Skills

A background in computer science, engineering, mathematics, or similar quantitative field with a minimum of 2 years of professional experience.
Experience in building Client models from the ground up, especially in NLP.
Understanding how Spark works and how to leverage it to increase model training efficiency.
Experience with Unix-based command-line interface and Bash scripts
Proficiency and linguistic knowledge of modeling in utilizing CJK tokenizers (Chinese, Japanese, Korean)
Must speak and read Chinese & English
Strong communication and presentation skills, written and verbal, to all levels of an organization.
Phenomenal attention to detail and organizational skills

Optional Skills

Experience with building quick POC's a plus
Data visualization or web development skills a plus

Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.",USA,TX,Austin
Diverse Lynx,AI/Machine Learning developer,Machine Learning,https://www.linkedin.com/jobs/view/3437381465/?alternateChannel=search&refId=jO1BdeDjnI%2FYU5CjYBJ7Lw%3D%3D&trackingId=ND4ExKEqwnGX46Xj%2Fore4g%3D%3D&trk=d_flagship3_search_srp_jobs,"Nowy Jork, NY",Zlecenie,Poczatkujacy,"Job Description

Job title: AI/Machine Learning developer

Location: NYC Downtown

Primary Job Description

Hands on experience with Python , Multithreading , Rest API
Experience with using and having an in-depth understanding of AI/Client Algorithms, Neural Networks ( Keras, Tensorflow, PyTorch, etc.)
Experience with NLP Libraries ( Standford, Spacy)
Should have ability to incorporate NLP and Client into full-stack , user facing applications
Should be able to think out-of-box and develop algorithms for complex problem solution
Experience with all parts of Data Engineering ( Data Mining, Data Processing, Data Cleaning, Data Modeling)
Should have strong Data Analyzation and Visualization skills
Help identify new data science methods worth exploring, determine the processes and techniques to implement

Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.",USA,NY,Nowy Jork
