Company Name,Title,Role,Role url,Localisation,Type,Level,Description
Infosys,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3349735791/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=BRzOC4iKJaqDDS0nfanqLQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Kraków, Woj. Małopolskie, Polska",Pelny etat,Poczatkujacy,"Job Description

Responsibilities:

Review academic and industry literature for applicable knowledge.
Educate others on statistical analysis and scientific investigation.
Design machine learning based prototype applications.
Analyze large data set to generate valuable insights.
Advise on data collection for machine learning models deployment.
Identify novel techniques for business process improvement and automation.
Educate others on statistical analysis and scientific investigation.
Collaborate with other members AI & Automation and clients.

Requirements
BS/MS/PhD in Computer Science, Mathematics, Physics, or related field.
2+ years’ experience in related field is preferable, but the right graduates will be considered.
Strong analytical and problem-solving ability.
In-depth understanding of machine learning concepts and algorithms.
Experience in at least one of cloud platforms such as GCP, AWS, Azure
Knowledge of relational databases and good grasp of SQL.
Proficient data analytics in Python (Pandas, Numpy, Scipy, Scikit Learn)
Proficiency in one of the Deep Learning frameworks: Keras, TensorFlow, PyTorch, Theano.
Familiarity with NoSQL and Graph databases will be advantage.
Knowledge of the Big Data technologies will be advantage (Hadoop, Hive, Spark, Sqoop)
Well organized with meticulous attention to detail.
Exemplary verbal and written communication skills.
Proficiency creating process documentation.
Able to work under pressure while managing competing demands and tight deadlines.
Fluency in English
Ability to travel internationally will be advantage.
Experience/Specialization in one of the following will be big advantage:
Natural Language Processing
Computer Vision
Time Series Analysis"
FLYR Labs,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3432813253/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=S%2F73wUsrtyyy2i5vZY%2FBAQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Kraków, Woj. Małopolskie, Polska",Pelny etat,Poczatkujacy,"Our Vision

FLYR Labs is focused on the relentless application of advanced and intuitive technologies that help transportation leaders unlock their ultimate potential.

Starting with airlines, we provide the Cirrus Revenue Operating System™ that reshapes how travel and transportation businesses plan their commercial operation. We displace legacy data, forecasting, pricing, and reporting solutions with a single enterprise SaaS platform that leverages the latest advancements in deep learning, cloud computing, and user experience.

Our hyper-accurate contextual forecasts enable the most effective scheduling, marketing, and leadership decisions while directly managing the pricing for billions of dollars worth of product and revenue.

Our data-driven, deep-learning-based methodology enables any airline to truly maximize their revenue and accurately forecast outcomes. To achieve this vision, we’re looking for an experienced Data Scientist to join our leading-edge, enterprise customer implementation team. This team delights new customers throughout the onboarding process, applying best-in-class AI solutions that revolutionize their revenue operations. This role will play a key role in ensuring our customers see rapid time-to-value, applying her or his technical expertise, business acumen, and intuition for innovation to solve complex, applied data science problems.

What will your destination look like at FLYR?
Act as a thought leader and expert practitioner in our data-science center of excellence.
Influence and drive the strategic evolution of our real-time predictive models that will revolutionize revenue operations for the transportation industry.
Develop scalable practices to implement model evolution, evaluation, and productization.
Engage with customers to understand their performance drivers and identity opportunities to improve our AI solutions offerings.
Learn our customers’ business needs and apply business acumen to ensure successful delivery on highly-technical projects.
Collaborate closely with FLYR’s Data Platform team to realize streamlined tools and workflows to deliver best-in-class ML models.

What can you bring on this trip?
Bachelor’s and graduate degrees in applicable quantitative disciplines (computer science, engineering, statistics, math, or similar)
2+ years of professional experience as a data scientist building models with direct commercial applicability
Demonstrable track record of technical leadership with measurable results for external customers
Expert Python skills and TensorFlow fluency
Foundational understanding of statistical and algorithmic principles, such as regression, tree-based methods, and deep learning (including RNN and CNN). Experience applying these in the fields of revenue management and/or network optimization is a plus

Desirable Skills
Background in client-facing roles delivering technical software solutions
Previous experience mentoring and training highly technical staff
Domain knowledge of airline revenue management or related areas of airline commercial operations is a plus
Experience with data visualization (Tableau, Looker, etc.), cloud computing platforms (GCP), and task orchestration tools (Apache Airflow) highly preferred

What can we offer you?
B2B or Regular employment contract
Flexible working hours
Hybrid model of work
Work equipment (macOS, keyboard and mouse)
Medical care
Sport card
Training budget
Lunches
Many more!

Our Commitment to Equality

Here at FLYR, we’re committed to growing with intention, having our teams better reflect the world around us. We strive to create an environment of inclusion and even more importantly, belonging, where psychological safety, empathy, and human connection are at the center of our leadership principles. Not only does this enable us to create better products and have a better work environment, it’s good for the bottom line and it’s the right thing to do.

FLYR provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, gender identity, sex, sexual orientation, national origin, age, physical or mental disability, genetics, marital or veteran status. In addition to federal law requirements, FLYR complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company operates."
Iron Mountain,Machine Learning Engineer,Machine Learning,https://www.linkedin.com/jobs/view/3428491157/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=pq2%2FMeeQ3Be%2FTHMA0hUKXg%3D%3D&trk=d_flagship3_search_srp_jobs,Polska,Pelny etat,Poczatkujacy,"At Iron Mountain we protect what our customers value most, from the everyday to the extraordinary. We build customer value around the world with a passion for preserving the physical, transforming the digital, and respecting the environmental. We pioneered the industry for global records and information management and have established some of the best customer relationships in the industry with 95% of the Fortune 1000 companies among our 225,000 loyal customers. Here, you’ll bring your expertise and creativity to a workplace that thrives on continuous improvement. Here, you’ll be part of a global workforce that embraces the differences among us. And here, we’ll encourage you to Climb Higher for the benefit of our customers and each other. There is so much more, but enough about us. We can’t wait to hear about YOU.

Job Summary:

Iron Mountain InSight is a cutting-edge AI enablement platform that applies industry leading Machine Learning (ML) technology to classify and extract entities from unstructured content (Document Images, Audio and Video files, other data files and sources).

The ML engineer works closely with multiple internal Iron Mountain teams to develop and deliver quality ML solutions, create/enhance ML tools for performance improvement.

Essential Job Responsibilities:

Design and development of ML models to perform classification and entity extraction of various forms of digital content (Images, Audio/video, and other digital file formats).
Work with project managers, solution architects and other engineers to build and deploy ML solutions into Iron Mountain Insight Platform.
Perform feasibility analysis and deliver PoC (Proof of Concept) for various customer requirements.
Applying effective visualization tools to make analysis and results intuitive and informative to the team and customers.
Participating in R & D to build Iron Mountain IP (Intellectual Property).
Work closely with the business to identify issues and use data to propose solutions for effective decision-making.

Functional Knowledge Skills & Competencies:

Education: Master/Bachelor/PhD degree in Computer Engineering, Computer Science or related discipline

Skills:

Deep understanding on Machine Learning and AI techniques.
Professional experience in Python programming.
Deep understanding of Cloud Technologies and solutions - GCP Preferred.
Strong technical background and understanding of enterprise solutions
Proven internal/external written and verbal communication, interpersonal and analytical skills
Ability to multitask and prioritize issues in a complex environment.
ML-related publication preferred.
Experience working in an Agile environment
Good team player

\

Category: gja\Information Technology

Iron Mountain Incorporated, founded in 1951, is the global leader for storage and information management services. Trusted by more than 225,000 organizations around the world in approximately 50 countries, Iron Mountain stores and protects billions of valued assets, including critical business information, highly sensitive data, and cultural and historical artifacts.

Providing solutions that include information management, digital transformation, secure storage, secure destruction, as well as data centers, cloud services, and art storage and logistics, Iron Mountain helps customers lower cost and risk, comply with regulations, recover from disaster, and enable a digital way of working.

Our Cores Values and Code of Ethics are our north star. They provide a solid base for how we do business and behave every day, so each one of us can experience exceptional.

If you have a physical or mental disability that requires special accommodations, please let us know by sending an email to accommodationrequest@ironmountain.com. See the Supplement to learn more about Equal Employment Opportunity.

Iron Mountain is committed to a policy of equal employment opportunity. We recruit and hire applicants without regard to race, color, religion, sex (including pregnancy), national origin, disability, age, sexual orientation, veteran status, genetic information, gender identity, gender expression, or any other factor prohibited by law.

To view the Equal Employment Opportunity is the Law posters and the supplement, as well as the Pay Transparency Policy Statement, CLICK HERE

Requisition: J0053061"
McKinsey & Company,Data Scientist - Orpheus,Data Scientist,https://www.linkedin.com/jobs/view/3368387711/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=GnP9WM9iAuDzsECnAfrHAQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Wrocław, Woj. Dolnośląskie, Polska",Pelny etat,Poczatkujacy,"Qualifications
Bachelor's or master’s relevant degree in machine learning, applied statistics, biostatistics, data science, applied math, quantitative social sciences or related fields
Machine Learning and Artificial intelligence knowledge/exposure advantageous for a senior position is a must
Strong knowledge of Python is a must
Ability to see the overall process repercussion of small tasks (i.e. coding)
Experience with text, analytics, tabelling
Generic algorithms exposure including cost function, neural networks, random forest, support vector machines, gradient boosting, Naïve Bayes, etc.
Exposure to tools like Excel, VBA, Alteryx, Tableau and Power BI is an advantage
Proven comfort and an intellectual curiosity for working with very large sets of data, pulling in relevant team members to address identified, and sometimes undiscovered, client needs
Comfortable with statistical techniques including correlation, regression, clustering, time-series, etc.
Comfortable in agile settings with ambiguity and changing priorities
Critical thinking and creative problem-solving skills
End-to-end processes
Ability to influence and work in teams
Strong command of English (verbal and written)

What You'll Do

You will develop and apply data science methods to improve and optimize the Orpheus solutions such as our data categorizer or develop methods to analyze various data streams for opportunities to improve external spending.

You will communicate complex analytics concepts and use statistics and machine learning to solve complex problems or derive key insights. You will write highly optimized code to advance our internal data science toolbox. You'll develop world-class data science products for Orpheus together with the broader software development teams as well as individualize implementation for our clients.

There is flexibility to hire at the level of scientist or senior scientist, depending on the candidate’s experience.

Who You'll Work With

You will be based in our Wroclaw office as part of Orpheus. You’ll be working with our global Orpheus team of software, analytics and procurement experts. You will be joining a fast-growing team in the procurement arena and taking cutting edge technology solutions to clients.

Orpheus, a McKinsey company, is McKinsey’s service line that brings technology and services to our clients to drive spend transparency, spend, and cost analytics, and value-capture management. We are part of McKinsey’s global Client Capabilities Network (CCN), which includes more than 1,800 knowledge professionals who work alongside our consultants and clients to generate distinctive insights and proprietary knowledge.

Orpheus infuses best-in-class technology and AI-based analytics with deep supply-market and category-sourcing expertise. You’ll be part of a team that is a core element of the digitally enabled procurement function of the future. This will involve all business value chain activities from product development to distribution and playing a strategic role in managing budgets and costs, anticipating and mitigating supply risk, driving compliance, and generating transparency to external spend in an organization."
TELUS International,Online Data Analyst,Data Analyst,https://www.linkedin.com/jobs/view/3410617901/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=VDYUCCZpIUgWsf0cYMU5Mw%3D%3D&trk=d_flagship3_search_srp_jobs,"Malbork, Woj. Pomorskie, Polska",Zlecenie,Poczatkujacy,"TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com


We are hiring freelance English and Polish speaking Online Data Analysts for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography.


This is a freelance position on a flexible schedule - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task.


Requirements
Full Professional Proficiency in English and Polish
You must be living in Poland for the last 2 consecutive years
Ability to follow guidelines and do research online using search engines, online maps and website information
You must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Poland
Being open to work across a diverse set of Task Types (e.g. Maps, News, Audio tasks, Relevance)
Applicants must be 18 years or over.


Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.


Why Join the TELUS International AI Community?
Earn extra income
Access to our community wellbeing initiative
Remote work & Location Independence
Be your own boss
Flexible Hours to fit in with your lifestyle
Be a part of an online community


If you have any questions, do not hesitate to contact us at sourcingteam82@telusinternational.ai"
Digital Turbine,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3203144471/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=T1iE7Q0jjL5b%2FxoMLsdNuA%3D%3D&trk=d_flagship3_search_srp_jobs,"Warszawa, Woj. Mazowieckie, Polska",Pelny etat,Poczatkujacy,"At Digital Turbine, we make mobile advertising experiences more meaningful and rewarding for users, app publishers, and advertisers — intelligently connecting people in more ways, across more devices. We provide app publishers and advertisers with powerful ads and experiences that captivate consumers, fuel performance, and help telecoms and OEMs supercharge awareness, acquisition, and monetization. In a rapidly evolving industry, we are constantly innovating and creating better paths of discovery to connect consumers, publishers, and advertisers across the mobile ecosystem.

What you will do as a Data Scientist at DT

Build Machine Learning models and deploy them to production on a gargantuan scale (We serve 2bn devices globally and handle 200bn requests every day). ML models are at the heart of our technology and serve the following use-cases:

○ Predict mobile users’ favorite games based on their previous

gaming history

○ Predict the value of the user (in-app transactions) for mobile

game developers

○ Optimize our bidding prices in real-time auctions

○ Optimize infrastructure utilization

○ Detect and eliminate fraud

○ Detect image content in ads

Outsmart other very smart mathematicians and coders who build models for our competition. Our business is based on auctions, where having the best model yields higher-than-proportional benefits. Even a 1% improvement in model accuracy can lead to millions of dollars in earnings. Read more about the Data Science role in our business in an interview with Pawel Godula, Head of Data Science at Digital Turbine.
Learn data science from a great team of Data Science researchers and engineers. We have a Kaggle Grandmaster, Kaggle Master, and Kaggle experts in the team, as well as a brilliant and accomplished engineering team to support us.

Minimum Requirements:

Coding in Python and SQL
Raw intellectual horsepower (aka High IQ)
Ability to talk to other engineers
Self-motivation to achieve something remarkable
Knowledge of basic concepts of Machine Learning

○ Difference between supervised and unsupervised learning

○ Train - validation - test split

○ Accuracy metrics

○ Model classes (Gradient Boosted Decision Trees- Our favourite

LGBM and XG Boost, Neural Networks, Regression)

These are absolutely required

It would be amazing if you had:

Track record on Kaggle (please share your profile)
Experience with ML models in production(###---SUPER AWESOME—###)
Experience in data science and ad tech

About Digital Turbine:

Digital Turbine (NASDAQ: APPS) powers superior mobile consumer experiences and results for the world’s leading telcos, advertisers and publishers. Our end-to-end platform uniquely simplifies the ability to supercharge awareness, acquisition and monetization — connecting our partners to more consumers, in more ways, across more devices.

The company is headquartered in Austin, Texas, with global offices in New York, Los Angeles, San Francisco, London, Berlin, Singapore, Tel Aviv, and other cities serving top agency, app developer, and advertising markets. Listed on Deloitte Technology Fast 500 for six consecutive years since 2015 and winner of Austin Chamber of Commerce’s Company Culture in 2020.

Digital Turbine is an equal opportunity employer committed to building a diverse and inclusive team. We welcome people of different backgrounds, experiences, abilities, and perspectives. We embed diversity in our mindset, products, and teams to empower an inclusive, equitable, and culturally fluent environment. Building this culture within our teams makes us better collaborators and partners, driving better outcomes.

To view our Global Recruitment Privacy Notice, please click here ."
Evolution,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3433730149/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=hR34pQicrmAfB81Wna8shQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Warszawa, Woj. Mazowieckie, Polska",Pelny etat,Poczatkujacy,"Job Description

We are searching for a passionate Data Scientist to help with our Machine Learning tasks and statistical analysis.

Qualifications

University degree in numerical field (Machine Learning, Statistics, Mathematics, Computer Science, Physics, Engineering, etc.);
At least 3 years of work experience in the Data Science field;
Experience and understanding of linear algebra and statistical modelling;
Experience with deploying machine learning solutions to production;
In-depth knowledge in at least one Machine Learning field such as regression, classification, clustering, pattern mining or optimization;
Experience with at least one Machine Learning framework such as Scikit-Learn, Keras, Tensorflow, Pytorch, MLLib;
Hands-on with Python, in particular packages such as Pandas, Numpy, Matplotlib (or equivalent);
Experience with SQL and Big data tools such as Spark/Hive;
Highly proficient in spoken and written English;
Excellent communication skills and a pragmatic approach to problem solving;
Willingness to learn and interest in latest trends in programming and machine learning.

Nice to Have:

Knowledge of Scala or Java;
Experience with AWS or other cloud provider;
Experience with Kafka, Clickhouse, Postgres, Kubernetes, Docker

Additional Information

We offer:

Challenging work with the award-winning products in a dynamic international team;
Health insurance;
Professional and personal development;
Opportunities to progress within the company.

About Us

Evolution is a market-leading developer and provider of products and services for online casino entertainment. Our excellence is driven by over 16,000 EVOlutioneers across 30 markets worldwide, working in product innovation, software development, IT solutions, game hosting and business support. Evolution's dynamic and creative environment creates a unique opportunity for personal and professional growth.

Our integrated business-to-business solutions guarantee that our clients can always provide an unrivalled online entertainment experience to their players globally. We thrive on remaining an award-winning digital powerhouse of entertainment products and services with an ever-expanding line-up of product brands: Evolution Live, NetEnt, Red Tiger, Ezugi, Big Time Gaming, Nolimit City and DigiWheel.

Evolution is a Swedish company founded in 2006 and listed on Nasdaq Nordic (EVO).

Apply now

You're almost there!

We look forward to receiving your application. This will only take a minute to complete.

Upload CV

Connect with LinkedIn

Fill manually

Please read our Applicant Privacy Notice before submitting your application and note that by submitting your application, you accept our privacy policy and cookie policy as well as the privacy policy and terms of use of SmartRecruters, the platform we use for administrating CVs."
HUBER+SUHNER,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3426929628/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=VyPm7ZYKoVnwVdxNFbgzLQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Tczew, Woj. Pomorskie, Polska",Pelny etat,Poczatkujacy,"At HUBER+SUHNER, we design and create essential components that transport power and data through networks. This is how our employees around the globe contribute to a world where people get and stay connected. Data Scientist

Tczew | 100 | Unlimited

Your tasks

Creating and developing complex algorithms (e.g. clustering, linear regression, neural networks, decision trees)
Analyzing and interpreting data patterns
Modeling and specification of the interactions of functionalities and system processes
Evaluating technologies and strategies using feasibility studies and prototypes
Supporting internal customers in initiating demands
Managing IIot Practice and Portfolio Platform for Smart Factory
Showing correlations, trends and capturing in reports and presentations
Analyzing and designing innovative solutions in the field of smart manufacturing for the various production sites of the group ability to abstract data related to the context

Your profile

Bachelor or Master in mathematics, computer science, statistics, data
Knowledge of statistical methods and experience with Python, R and/or SQL, Power BI
Experience in web analysis and/or data science is an advantage
Experience in applying innovative and agile methods
Affinity and interest in Industry 4.0 - Smart Factory topics (IIoT, Edge Computing, Cloud, Data Analytics)
Thinking and acting in an integrative manner in a complex and demanding system environment
Independent way of working, creativity as well as quality awareness and enjoyment of developing new solutions in an innovative environment
Experience with the connection and integration of machine controls into the production network (PLC, OPC-UA, MES, CAQ, PLM, SAP ERP) is an advantage
Very strong communication skills and very good knowledge on Polish and English"
Majorel Polska,Privacy Data Analyst - Fluent German,Data Analyst,https://www.linkedin.com/jobs/view/3425951104/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=hMOuouZ%2Bok%2FHK07WeKC9EQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Gdańsk, Woj. Pomorskie, Polska",Pelny etat,Poczatkujacy,"Work Type: In Office
Location: Gdańsk or Krakow Office

The Privacy Data Analyst is responsible for enforcing the policies for our clients products by analyzing requests under European Law Legislations from lawyers and private individuals by reviewing and processing privacy requests. You will also be responsible for handling users’ privacy requests for different workflows, following the client’s guidelines, which allow you to make sound decisions. You will have a thirst for knowledge, impeccable judgment and be comfortable operating in a fast paced, dynamic environment.

DUTIES & RESPONSIBILITIES
Review and process incoming privacy requests through online tools in German language and for various other markets as required using translation tools
Evaluate validity of each request in line with our clients policies
Continually educate yourself about changes to policies and protocols with the support of our Training and Quality Departments
Work closely with our clients policy specialists to address cases and regulatory inquiries using the clients response framework
Maintain a high level of quality in each case that you review
Achieve weekly productivity deliverables as part of daily workflow
Effectively collaborate with team members on a range of projects to improve internal efficiency and effectiveness
Develop skills in a number of different areas including data, tools and quality assessment

REQUIRED QUALIFICATIONS & EXPERIENCE
Fluency in written and spoken German and English is essential
Motivated by working in an environment that requires strong attention to detail
Excellent communication skills both verbal and written
Demonstrates ability to exercise impeccable judgment
Ability to work in a fast paced environment with complex requests
Ability to be flexible and adaptable to meet changing business needs
Good computer literacy with the ability to quickly learn new tools
B.A. or B.S. degree/masters or equivalent professional experience in online operations, privacy or legal support role desirable

Competencies
Initiative
Solution Orientation
Collaboration
Organizational Commitment
Customer Focus
Teamwork
Results Orientated
Attention to detail
Problem Solving & Information Gathering
Resilience & Adaptability

WHAT WE OFFER:
Our people are the heart-beat of our company. If you want to work in a multicultural, diverse environment with real opportunities to grow, then we’re the right choice. And, naturally, we can offer you all of the benefits of being part of a fast-growing, global business.
Wellness & Engagement Activities
Quarterly Performance Bonus
Relocation Support
Majorel Feel Good Program
Career & Personal Development
Competitive Salaries
Paid Annual Leave
Health Insurance
Full Product Training
Innovation Programs"
Verisk,Junior Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3407341848/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=EhtSJnTG%2Bf6IRH4izN35XQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Kraków, Woj. Małopolskie, Polska",Pelny etat,Poczatkujacy,"Company Description

We help the world see new possibilities and inspire change for better tomorrows. Our analytic solutions bridge content, data, and analytics to help business, people, and society become stronger, more resilient, and sustainable.

Job Description
Under supervision, executes project plans for timely project completion.
Utilizes statistical and machine learning techniques to create high-performing models that comply with regulatory and privacy requirements and address business objectives and client needs.
Performs analyses of structured and unstructured data to solve multiple and complex business problems. utilizing advanced statistical, mathematical and machine learning technique.
Tests new statistical analysis methods, software and data sources for continual improvement of quantitative solutions. Implements as needed.
Creates clear and easy to understand documents for product support (technical).
Presents analysis ideas, progress reports and results to internal managers, project managers.
Collaborates with other Data Scientists to develop technical/business approaches and new or enhanced technical tools. Participates in collaborations for implementation.
Qualifications
Graduate-level degree preferred with concentration in a quantitative discipline such as statistics, mathematics, economics, operations research, computer science or aligned discipline.
Experience with data engineering, core data science analytic methodologies, and text mining.
Knowledge in and applied experience with statistical and machine learning.
Experience (0-2 years) using machine learning languages (e.g., R, Python, SLQ) and a working familiarity with cloud computing environments.
Logical, evidence-based problem solving and critical thinking skills.
Knowledge of time-series based methods is a plus.
Knowledge of basic insurance concepts is a plus.
Additional Information

In 2022, Verisk received Great Place to Work® Certification for our outstanding workplace culture for the sixth year in a row and second-time certification in the UK, Spain, and India. We’re also one of the 38 companies on the UK’s Best Workplaces™ list and one of 18 companies on Spain’s Best Workplaces™ list.

For over fifty years and through innovation, interpretation, and professional insight, Verisk has replaced uncertainty with precision to unlock opportunities that deliver significant and demonstrable impact. From our historic roots in risk assessment, we’ve grown to provide analytic insights that help transform industries focused on some of the world’s most critical areas. Today, the insurance industry relies on Verisk to be, and to make the world, more productive, resilient, and sustainable.

Verisk works in collaboration with our customers and at the intersection of people, data, and advanced technologies. Through proprietary platformed analytics, advanced modeling, and interpretation, we deliver immediate and sustained value to our customers and through them, to the individuals and societies they serve, with greater speed, precision, and scale. We’re 9,000 people strong, committed to translating big data into big ideas. We help others see new possibilities and empower certainty into big decisions that impact individuals and societies. And we relentlessly and ethically pursue innovation to help move our customers, and the world, toward better tomorrows.

Everyone at Verisk—from our chief executive officer to our newest employee—is guided by The Verisk Way, to Be Remarkable, Add Value, and Innovate.
Be Remarkable by doing something better each day in service to our customers and each other
Add Value by delivering immediate and sustained results that drive positive outcomes
Innovate by redefining what’s possible, embracing challenges, and pushing boundaries
Verisk Businesses

Underwriting Solutions — provides underwriting and rating solutions for auto and property, general liability, and excess and surplus to assess and price risk with speed and precision

Claims Solutions — supports end-to-end claims handling with analytic and automation tools that streamline workflow, improve claims management, and support better customer experiences

Property Estimating Solutions — offers property estimation software and tools for professionals in estimating all phases of building and repair to make day-to-day workflows the most efficient

Extreme Event Solutions — provides risk modeling solutions to help individuals, businesses, and society become more resilient to extreme events.

Specialty Business Solutions — provides an integrated suite of software for full end-to-end management of insurance and reinsurance business, helping companies manage their businesses through efficiency, flexibility, and data governance

Marketing Solutions — delivers data and insights to improve the reach, timing, relevance, and compliance of every consumer engagement

Life Insurance Solutions – offers end-to-end, data insight-driven core capabilities for carriers, distribution, and direct customers across the entire policy lifecycle of life and annuities for both individual and group.

Verisk Maplecroft — provides intelligence on sustainability, resilience, and ESG, helping people, business, and societies become stronger

Verisk Analytics is an equal opportunity employer.

All members of the Verisk Analytics family of companies are equal opportunity employers. We consider all qualified applicants for employment without regard to race, religion, color, national origin, citizenship, sex, gender identity and/or expression, sexual orientation, veteran's status, age or disability.

http://www.verisk.com/careers.html

Unsolicited resumes sent to Verisk, including unsolicited resumes sent to a Verisk business mailing address, fax machine or email address, or directly to Verisk employees, will be considered Verisk property. Verisk will NOT pay a fee for any placement resulting from the receipt of an unsolicited resume."
