Company Name,Title,Role,Role url,Localisation,Type,Level,Description,Country,Region,City
AXA UK,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3431964168/?alternateChannel=search&refId=fvWMnlxNwHvFoBTe0cPlnw%3D%3D&trackingId=wqvG7G0yqWUf38D6DyrH7w%3D%3D&trk=d_flagship3_search_srp_jobs,"Birmingham, Anglia, Wielka Brytania",Pelny etat,Poczatkujacy,"Description
At AXA we are transforming the customer “insurance claim” journey by deploying machine learning models so that we get faster and improved decision making at key interaction points. This role is essential to the Claims Advanced Analytics programe that is driving this change. Specifically this programme is designed to embed a data driven, intelligence led decision making into the culture and way of working in Claims. Deliver significant indemnity savings, efficiency benefits and improved customer outcomes. Develop Claims’ data science capability so that machine learning and AI solutions can be developed and deployed internally in a sustainable way. Develop the Claims data asset.

The Data Scientist is key to executing end to end data science solutions and providing value through solving business problems.

As a Data Scientist within the Claims Analytics team, you will be building end-to-end data science solutions that directly benefit the customers claims journey. This is an exciting time to join as you will leverage our cloud-based data lake, design our advanced machine learning and AI models and influence the business in respect to its understanding and use of data.

At AXA we’re adopting a Hybrid way of working, empowering our people to balance their time between home and the office in a way that works best for them, their team and our customers.

What you will be doing:
Scoping out the business problem and proving value via Exploratory Data Analysis to demonstrate the value of an ML approach.
Creating and productionising machine learning models (using python, ML libraries, and Databricks).
Processing large scale data from our data lakehouse.
Applying MLOps, AutoML, model explainability best practices.
Presenting the results to stakeholders in an intuitive way and assisting the long term tracking of the model performance to demonstrate value of the product.

Qualifications
Able to understand, explain and apply the relevant ensemble model to the appropriate problem.
Able to apply regression, classification, and clustering techniques on predominantly structured data.
Experience of using PySpark to process large scale data (we use the Databricks platform).
Python experience that demonstrates coding in Jupyter Notebooks and also the ability to write productionised code (e.g. a Flask API to serve a model).
To be able to demonstrate the regular use of Version Control software e.g. git.
Familiarity with Graph ML or NLP.
Excellent written and verbal communication skills along with a strong desire to work in work with cross functional teams (Data Engineering, Cloud Team, Data Protection).

What we offer

One of the best things about joining AXA is our rewards package. At AXA UK, we’re appreciative of the people who work for us and our rewards package is reviewed regularly to reflect that. You can expect to receive:
Competitive annual salary
Annual company & performance-based bonus
Contributory pension scheme (up to 12% employer contributions)
Life Assurance (up to 10 x annual salary)
25 days annual leave plus Bank Holidays
Opportunity to buy up to 5 extra days leave or sell up to 3 days leave
AXA employee discounts
Gym benefits

Our ambition is to become one of the most inspiring companies to work for, as such we’re committed to supporting employee needs, providing meaningful career development and celebrating differences. We understand that everyone has individual work and home life responsibilities, therefore we’re happy to discuss flexible working arrangements for this role, should this be a requirement for you.[RA3]

We look for candidates with the right skills and values to join us and selection is based on a fair and equal process. As a regulated financial services company, all successful candidates will be subject to preemployment checks. We’re committed to providing equal opportunities for all, therefore we welcome and encourage applications from people of all backgrounds. As a disability confident employer, we’re pleased to offer our support and access to the AXA Accessibility Concierge should you require an alternative method of applying or any reasonable adjustments to be made during the recruitment process.

To apply, click ‘Apply Now’ and you’ll be able to upload your profile/CV from there. If you’d like to discuss this role further or would like to engage with our Accessibility Concierge, please send an email to emma.watson@axa-uk.co.uk

About AXA
With a presence in over 60 countries, and 165,000 employees serving the needs of 107 million customers, AXA is big.

But never too big to care for every single person who works here. So when you join us, we promise to put our collective might behind you and your career.

You’ll work in an open and supportive environment where you’ll be developed, challenged and encouraged to move around to achieve even bigger and better things – nationally and internationally. You’ll learn directly from senior leaders, from the best in our business. And you’ll enjoy real responsibility, really early on.

Every large company today talks about supporting diversity and inclusion. But at AXA UK, these values form an integral part of everything we do. For us, it’s about bringing together the best talent, helping people to realise their full potential by being 100% themselves at work and delivering outstanding service to everyone – regardless of difference.

Proud to be part of the AXA Group, a global insurance brand and a worldwide leader in financial services, AXA Insurance businesses employ over 5,500 in a network of offices across the UK. Our expert teams care for a huge range of customers, helping them protect their cars, homes and businesses against life’s uncertainties. Whether bought directly, through brokers or through a number of corporate partners, our market-leading products are trusted by millions.",Wielka Brytania,Anglia,Birmingham
Harnham,Python Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3434136288/?alternateChannel=search&refId=fvWMnlxNwHvFoBTe0cPlnw%3D%3D&trackingId=5TxLg8veXZhU1UsqNLbD6g%3D%3D&trk=d_flagship3_search_srp_jobs,"Londyn, Anglia, Wielka Brytania",Pelny etat,Poczatkujacy,"PYTHON DATA SCIENTIST

LONDON

UP TO £80,000

Do you want to work for a global leading airline?

The Company

This is one of the world's leading airlines as they embark on an exciting data science journey. You will be joining a team of talented data scientists.

THE ROLE
Develop and deliver new and innovative data science and machine learning tools
Be hands-on providing data analytics/data science services to deliver meaningful insights to clients
Support the internal audit function with the transformation initiative to use Data Science in external projects
Help the team to support clients in all areas of large data handling, manipulation, analysis and modelling
Your Skills And Experience
Data Science background
Financial services background
Strong Python,SQL, Tableau experience
Project management experience
Benefits
Up to £70,000
Flexible working
Healthcare
Performance-based bonus
Pension scheme
How To Apply

Please register your interest by sending your CV to Charlotte Smith Via the Apply now Link.",Wielka Brytania,Anglia,Londyn
Harnham,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3435344510/?alternateChannel=search&refId=fvWMnlxNwHvFoBTe0cPlnw%3D%3D&trackingId=S2lrtxGpgm0dWl1FUz9JGA%3D%3D&trk=d_flagship3_search_srp_jobs,"Warwickshire, Anglia, Wielka Brytania",Pelny etat,Poczatkujacy,"Warwickshire

£60,000

The Company

This company is a market-leading retailer, they offer several services and are continuing, to grow and develop their data use.

The Role
In this role you will be delivering end-to-end projects working closely with stakeholders, identifying the modelling opportunity, and working in data extraction, transformation, and feature engineering.
You will be responsible for communicating complex analytics results to non-technical stakeholders and delivering storytelling to provide insight into how the data can benefit the business.
You will work on data from customer journeys, purchase funnel and channel analysis as well as work closely with the wider analytics team to combine customer analytics customer research to give our best prediction of future behaviour.
In this role, you will be working with Microsoft Azure, Databricks, SQL, Python, & PowerBI.
Skills And Experience
They are looking for someone with excellent analytical skills, and strong technical ability in the above-mentioned tools.
Experience in Segmentation and Customer Churn models, and the ability to manage multiple Partners.
They are looking for a candidate with a degree or equivalent in a science or statistical subject, who has experience in modelling and data management.
This role offers a competitive salary and an excellent hybrid working scheme.

If you would like to find more out about this role please contact,",Wielka Brytania,Anglia,Warwickshire
Department for International Trade (DIT),Data Scientist – Global Supply Chains,Data Scientist,https://www.linkedin.com/jobs/view/3432765933/?alternateChannel=search&refId=fvWMnlxNwHvFoBTe0cPlnw%3D%3D&trackingId=trTG9%2BOfueS4ikGAb%2BkQ9A%3D%3D&trk=d_flagship3_search_srp_jobs,"Darlington, Anglia, Wielka Brytania",Pelny etat,Poczatkujacy,"Location

Darlington, London

Job Summary

About the job

The Department for International Trade (DIT) negotiates trade agreements for the UK and promotes UK Trade and Investment around the world.

The Global Supply Chains Directorate works across Government to strengthen critical supply chains. We assess vulnerabilities in critical supply chains and work with government departments to identify actions to improve resilience.

The Insights & Analysis is a multi-disciplinary analytical team that sits in the heart of the Global Supply Chains Directorate. The team is the main analytical function for the directorate, providing high quality and timely monitoring and analysis on supply chains. Key workstreams include undertaking detailed supply chain mapping exercises; rapid analysis in response to emerging disruptions; development of data-driven approaches to improve visibility of critical supply chains and their vulnerabilities; and development of new disruptive event monitoring systems to identify emerging risks to critical supply chains.

We have two Data Scientist roles available within the Insights & Analysis team. Both roles involve utilising government, public and commercial datasets to improve visibility and understanding of UK critical supply chains. Day to day, the postholders will be exploring and acquiring new datasets; manipulating large datasets and developing data-driven methods for identifying vulnerabilities and emerging risks; working with stakeholders across Government to understand requirements; generating proposals and ideas for new products; and developing interactive dashboards and tools to disseminate the team’s analysis across Government.

This is an exciting time to be joining the team as a Data Scientist, where you will have the opportunity to develop your skills in analysing and visualising newly acquired large firm-level supply chain datasets using cutting edge methods such as graph network analysis.

Job Description

You will be joining a truly multi-disciplinary analytical team of economists, statisticians, data scientists, operational researchers, social researchers and a supply chain specialist.

The post holder will champion the use of novel data sources and methods, working closely with stakeholders across the DIT, Government, and the private sector to develop new analytical tools for assessing vulnerabilities and disruptive events affecting critical supply chains and the UK economy.

The team’s analytical outputs are used across Government to decisions of some of the most biggest challenges facing the UK, therefore the postholder will be expected to drive forward their workstreams and deliver projects at pace. This will include developing innovative methods for disseminating complex data across the directorate and wider government. In doing so you will work in cross-government analytical working groups to share methodologies and insights, as well as developing close links to thinktanks, academics and international organisations.

Day-to-day activities include, but are not limited to:
Exploring and acquiring new open source, government held, and commercial data sources that improve data-driven visibility of UK critical supply chains, their vulnerabilities, and near real-time tracking of emerging risks and disruptive events.
Developing novel statistical and data science methodologies and frameworks for identifying supply chain vulnerabilities, linkages, and emerging risks to UK critical supply chains and imports.
Developing methodologies (e.g. Natural Language Processing) for synthesising qualitative data – such as overseas intelligence or news reports – to identify events affecting critical supply chains.
Automating report generation for policy and strategy colleagues, such as country supply chain reports.
Building relationships with policy customers across Government to identify requirements and scope new analytical products.
Building engaging visualisations, dashboards, and automatic reports to disseminate large complex volumes of data and analysis in an intuitive way that is accessible to non-analysts.
Making use of API’s and web-scraping methods to acquire new data sets.
Providing analytical support to other workstreams across the team, including supply chain mapping exercises and rapid analysis.

Hybrid Working

The role will be based in London or Darlington. You will be asked to express a location preference during the application process.

Please be aware that this role can only be worked from within the UK and not overseas.

Informal hybrid working arrangements will be available as agreed with the vacancy manager and in line with the requirements of the role.

Most DIT employees will be working a hybrid pattern, spending 2-3 days a week (pro rata) in an office, on average. If your office location is London, you will be eligible to receive London weighting.

Appointments will be made to candidates in merit order based on location preferences.

Person specification

Essential Criteria
Undergraduate or above in a quantitative subject such as mathematics, statistics, physics, computer science, or economics.
Experience in manipulating large datasets and conducting quantitative analysis.
Experience of statistical programming in programming languages such as R or Python

Desirable Criteria
Experience in producing dashboards or visualisations using packages such as RShiny, Streamlit, Amazon QuickSite or Power BI.
Knowledge of analysing economic data

Qualifications
Undergraduate or above in a quantitative subject such as mathematics, statistics, physics, computer science, or economics.

Behaviours

We'll assess you against these behaviours during the selection process:
Communicating and Influencing
Seeing the Big Picture
Changing and Improving

Technical Skills

We'll assess you against these technical skills during the selection process:
Problem structuring
Knows and applies OR skills and techniques
Achieves Impact with Analysis

Benefits
Learning and development tailored to your role
An environment with flexible working options
A culture encouraging inclusion and diversity
A Civil Service pension with an average employer contribution of 27%

Things you need to know

Selection process details

This vacancy is using Success Profiles , and will assess your Behaviours, Experience and Technical skills.

Interviews for this vacancy will be conducted virtually. We will, however, consider in-person interviews by exception.

Please ensure that you check your emails regularly as all updates from us will be sent to you this way.

Sift will take place week commencing 23/01/2023.

Interviews will take place week commencing 13/02/2023.

As part of the application process you will be asked to complete a CV and a personal statement. If you are offered an interview, you will be asked to give a 5 minute presentation. The topic will be emailed prior to your interview.

Please align your CV with previous skills and experience. Maximum of 2 A4 pages.

In your personal statement, please provide evidence of your technical skills and experience demonstrating how you meet the criteria outlined in the job description. Maximum word count of 750.

In the event that there is a high volume of applications, a short sift will be conducted based on personal statement. Candidates who pass the initial sift may be progressed to a full sift, or progressed straight to assessment/interview.

The successful candidate, following interview, will be badged to the profession if are not already GORS badged.

If successful and transferring from another Government Department a criminal record check may be carried out.

In order to process applications without delay, we will be sending a Criminal Record Check to Disclosure and Barring Service on your behalf.

However, we recognise in exceptional circumstances some candidates will want to send their completed forms direct. If you will be doing this, please advise Government Recruitment Service of your intention by emailing Pre-EmploymentChecks.grs@cabinetoffice.gov.uk stating the job reference number in the subject heading.

New entrants are expected to join on the minimum of the pay band.

Applicants who are successful at interview will be, as part of pre-employment screening, subject to a check on the Internal Fraud Database (IFD). This check will provide information about employees who have been dismissed for fraud or dishonesty offences. This check also applies to employees who resign or otherwise leave before being dismissed for fraud or dishonesty had their employment continued. Any applicant’s details held on the IFD will be refused employment.

A candidate is not eligible to apply for a role within the Civil Service if the application is made within a 5-year period following a dismissal for carrying out internal fraud against government.

Please note – the successful candidate will be expected to remain in post for a minimum of 18 months before being released for another role.

The Department for International Trade embraces and values diversity in all forms. We welcome and pride ourselves on the positive impact diversity has on the work we do, and we promote equality of opportunity throughout the organisation.

Please note – harmonised terms and conditions are attached. Please take time to read the document to determine how these may affect you.

Further Information

A reserve list may be held for a period of 12 months from which further appointments can be made.

Any move to the Department for International Trade from another employer will mean you can no longer access childcare vouchers. This includes moves between government departments. You may however be eligible for other government schemes, including Tax Free Childcare. Determine your eligibility at https://www.childcarechoices.gov.uk

Reasonable Adjustment

If a person with disabilities is put at a substantial disadvantage compared to a non-disabled person, we have a duty to make reasonable changes to our processes.

If you need a change to be made so that you can make your application, you should:
Contact Government Recruitment Service via ditrecruitment.grs@cabinetoffice.gov.uk as soon as possible before the closing date to discuss your needs
Complete the “Assistance required” section in the “Additional requirements” page of your application form to tell us what changes or help you might need further on in the recruitment process. For instance, you may need wheelchair access at an interview, or if you’re deaf, a Language Service Professional

If you are experiencing accessibility problems with any attachments on this advert, please contact the email address in the 'Contact point for applicants' section.

Vetting Requirements

All security clearances require you to provide evidence of your UK footprint where you have been physically present in the UK.

The requirement for SC clearance is to have been present in the UK for at least 3 of the last 5 years.

Failure to meet the residency requirements will result in your security clearance application being rejected.

If you require SC clearance you will need to provide evidence of the below requirements.

Checks will be made against:
Departmental or company records (personnel files, staff reports, sick leave reports and security records)
UK criminal records covering both spent and unspent criminal records
Your credit and financial history with a credit reference agency
Security Services records

Feedback will only be provided if you attend an interview or assessment.

Security

Successful candidates must pass a disclosure and barring security check.

Successful candidates must meet the security requirements before they can be appointed. The level of security needed is security check . See our vetting charter .

People working with government assets must complete basic personnel security standard checks.

Nationality Requirements

This job is broadly open to the following groups:
UK nationals
nationals of Commonwealth countries who have the right to work in the UK
nationals of the Republic of Ireland
nationals from the EU, EEA or Switzerland with settled or pre-settled status or who apply for either status by the deadline of the European Union Settlement Scheme (EUSS)
relevant EU, EEA, Swiss or Turkish nationals working in the Civil Service
relevant EU, EEA, Swiss or Turkish nationals who have built up the right to work in the Civil Service
certain family members of the relevant EU, EEA, Swiss or Turkish nationals
Further information on nationality requirements

Working for the Civil Service

The Civil Service Code sets out the standards of behaviour expected of civil servants.

We recruit by merit on the basis of fair and open competition, as outlined in the Civil Service Commission's recruitment principles .

The Civil Service embraces diversity and promotes equal opportunities. As such, we run a Disability Confident Scheme (DCS) for candidates with disabilities who meet the minimum selection criteria.

The Civil Service also offers a Redeployment Interview Scheme to civil servants who are at risk of redundancy, and who meet the minimum requirements for the advertised vacancy.

Apply and further information

This vacancy is part of the Great Place to Work for Veterans initiative.

The Civil Service welcomes applications from people who have recently left prison or have an unspent conviction. Read more about prison leaver recruitment .

Once this job has closed, the job advert will no longer be available. You may want to save a copy for your records.

Contact point for applicants

Job contact :
Name : Kim Moxey
Email : kim.moxey@trade.gov.uk
Telephone : 07900388300
Recruitment team :
Email : ditrecruitment.grs@cabinetoffice.gov.uk

Further information

Our recruitment process is underpinned by the principle of appointment on the basis of fair and open competition and appointment on merit, as outlined in the Civil Service Commissioners’ Recruitment Principles.

If you feel your application has not been treated in accordance with these principles and you wish to make a complaint, you should in the first instance contact DIT by email: Resourcing@trade.gov.uk.

If you are not satisfied with the response you receive, you can contact the Civil Service Commission, which regulates all Civil Service recruitment.

For further information on bringing a complaint to the Civil Service Commission please visit their web pages: Click here to visit Civil Service Commission/Complaints",Wielka Brytania,Anglia,Darlington
The University of Edinburgh,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3430369718/?alternateChannel=search&refId=fvWMnlxNwHvFoBTe0cPlnw%3D%3D&trackingId=EJ2xVRh1owMg6aKnzfLBAA%3D%3D&trk=d_flagship3_search_srp_jobs,"Edynburg, Szkocja, Wielka Brytania",Pelny etat,Poczatkujacy,"Job Description

UE08 £43,414 - £51, 805 per annum

The Data Lab, College of Science and Engineering

Full time: 35 hours per week

Fixed term to 31/03/2025 (possibility of extension)

We are looking for a Data Scientist to be based in The Data Lab to support the work of the Smart Manufacturing Data team in helping SME manufacturing organisations in the UK create and access value from data.

The Opportunity

The Data lab is Scotland’s Innovation Centre for data and AI, and we have a mission to help Scotland maximise value from data and lead the world to a data powered future. Our data science team supports this in a number of key ways: we scope and deliver projects of varying size and ambition in all the sectors in the Scottish Economy; we deliver mentoring projects to support individuals and organisations understand best practice approach in delivering their internal projects; and we participate in thought leadership through the Data Lab’s community and programme of events.

As a data scientist in the data science team you will be expected to support clients throughout the project lifecycle from scoping through to delivery. You will manage and delivery your own projects, and will be capable of working in large project teams. You will be a strong voice for best practice, able to coach and support people to ensure a successful data project.

Your Skills And Attributes For Success

Education: Advanced degree (MSc or PhD) in a numerical subject (such as Computing, Mathematics or Statistics).
You should have relevant experience in delivering data projects in an organisational context, working with raw and sometimes messy data, and working with non-data colleagues to establish the route to value.
You should be comfortable working with junior colleagues or clients and supporting them to grow both their technical skills and their soft skills to ensure success.
You should have experience with some or all of the following: python, R and/or R shiny, statistics, data visualisation and analytics, dashboards, and machine learning.
Good communication skills are essential in this role.

Click here for a copy of the full job description

As a valued member of our team you can expect:

An exciting, positive, creative, challenging and rewarding place to work. We give you support, nurture your talent and reward success, and you will have considerable autonomy to create a data science service that generates real value. You will benefit from a competitive reward package and a wide range of staff benefits, which includes a generous holiday entitlement, a defined benefits pension scheme , staff discounts, family friendly initiatives , flexible working and much more. Access our staff benefits page for further information and use our reward calculator to find out the total value of pay and benefits provided.

The University of Edinburgh holds a Silver Athena SWAN award in recognition of our commitment to advance gender equality in higher education. We are members of the Race Equality Charter and we are also Stonewall Scotland Diversity Champions, actively promoting LGBT equality.

Interviews will be held as soon as possible after the closing date.

If invited for interview you will be required to evidence your right to work in the UK. Further information is available on our right to work webpages

On this occasion the University will not consider applicants requiring sponsorship for this role. International workers will therefore only be able to take up this role if they can demonstrate an alternative right to work in the UK.

About Us

As a world-leading research-intensive University, we are here to address tomorrow’s greatest challenges. Between now and 2030 we will do that with a values-led approach to teaching, research and innovation, and through the strength of our relationships, both locally and globally.

Organization

Specifically We Fund

The Data Lab is Scotland’s Innovation Centre for data and AI. Our mission is to help Scotland maximise value from data and lead the world to a data powered future. The Data Lab is one of 8 Innovations Centres created by the Scottish Government. Based at the University of Edinburgh, our goal is to deliver economic and social benefit to Scotland through the application of data science.

Collaborative innovation between academia, industry and the public sector.
A skills and training programme designed to increase the talent pool in Scotland.
Community building events to promote data science in Scotland.

Our remit is to work across Scotland and, in addition to our main office in Edinburgh, we also have offices in Aberdeen (Robert Gordon University) and Glasgow (Glasgow University).

For more information, visit https://www.thedatalab.com/",Wielka Brytania,Szkocja,Edynburg
JD Sports Fashion plc,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3427690987/?alternateChannel=search&refId=fvWMnlxNwHvFoBTe0cPlnw%3D%3D&trackingId=Ryu3%2BLSLwCrxL1iAwfVetA%3D%3D&trk=d_flagship3_search_srp_jobs,"Bury, Anglia, Wielka Brytania",Pelny etat,Poczatkujacy,"Data Scientist - Central Data Team

Job Description

We are looking for a data scientist who will support all the areas of our business, (from retail, central leadership, merchandising and logistics) who can find insights in our data that will empower the organisation.

This role will suit a person with a curious mindset and a passion for data-driven problem solving. Using data to drive business decisions and understand our processes is a key strategic focus for JD.

You will be working in a multidisciplinary team, alongside data engineers, analysts and subject matter experts to develop data solutions that deliver value to our stakeholders.

You will be expected to be involved in all aspects of the data science journey, from exploration of the data, modelling and deployment of models into live.

As a data scientist, you will have a strong understanding of databases and data analysis techniques. You will be technically confident and have the ability to communicate your findings both verbally and in writing.

A Typical Week Could Include
Identify opportunities to apply data science, internally within the team and in the wider business community, to drive sustainable growth.
Participate in / lead data discovery with stakeholders and technical peers
Extending company’s data with third party sources of information when needed
Enhancing data collection procedures to include information that is relevant for building analytic systems
Utilise data analysis techniques and statistical models to develop insights and drive actionable activity
Look at data processes and become a champion of data quality and accuracy at JD
Explore data conflicts between core systems and the data analytics platform
Work with the business users, peers and architects to develop data solutions
Interact with team members and business users
Peer review of analytical products
Doing ad-hoc analysis and presenting results in a clear manner
Contribute to and support the data science community within JD
Experience, Skills And Knowledge
Good understanding of statistical methods, algorithms and machine learning concepts (ranging from EDA, data science methods (regression, classification, segmentation), autoML techniques and predictive modelling).
Experience of common data science frameworks and tools like Python, java, C, Go and R. Understand how to use auto ML packages (datarobot / Vertex AI).
Strong Proficiency in database languages, such as SQL, against large datasets
Excellent communication and collaboration skills, including the ability to prepare reports, presentations, executive summaries and analysis.
Understanding of version control (preferably Git and SVN)
Background of working with large and complex datasets
Data oriented personality with strong sense of curiosity and collaboration to overcome challenges
Prefered Experience
Hands on professional experience with applied machine learning
Experience of working with a data analytics team in a retail environment
Experience in producing ETL data flows
Qualification in mathematics, computer science or related field
Technical Skills
Database technologies
GCP BigQuery
Oracle database (v12 onwards) or equivalent
MS SQL Server
SQL (Stored procedures, query optimization, etc)
Program languages:
Python
R
Java / Javascript
BI tool(s)
Looker
Data studio
Thoughtspot
GCP AI platform - Vertex AI
GCP
Source control (Git, SVN)
Excel / Sheets",Wielka Brytania,Anglia,Bury
Harnham,Junior Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3434947888/?alternateChannel=search&refId=fvWMnlxNwHvFoBTe0cPlnw%3D%3D&trackingId=2PF0UQ%2B4kKTrsBOuwk19BQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Londyn, Anglia, Wielka Brytania",Pelny etat,Poczatkujacy,"London, United Kingdom

Salary up to £50,000 + Benefits

Junior Data Scientist role just in, use your expert knowledge to deliver complex ML projects that will focus on clients behaviour by predicting future trends!

The Company

This company is one of the worlds leading retailers online, it is looking to expand it's team. A well-established company that focuses on client Needs, through AI, ML, and DL models. This role is a chance to work with a highly innovative company, who are working on projects that look at predictive modelling especially.

THE ROLE

This role will give you a chance to work on all things ML related, looking at predictive modelling to solve solutions for clietns
Deliver complex business problems
Build recommender systems using ML
Work collaboratively in a team of specialists
Deliver high quality Data Sceince
Drive business insight and come up with suitable suggestions
Work alongside lead and senior Data Scientists
Improve marketing strategies
Solve complex problems on a daily basis
Your Skills And Experience
PhD or Masters in a numeric discipline
Experience developing and deploying Machine Learning algorithms
Experience using Python and R
Proficient with SQL databases
Experience using Spark
Comprehensive proficiency in using programming languages
Expert in mining large data sets
Salary And Benefits
Earning potential up to £50,000
+ a number of benefits
How To Apply
Please register your interest by sending your CV to Charlotte York via the apply link on this page",Wielka Brytania,Anglia,Londyn
Harnham,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3430624125/?alternateChannel=search&refId=fvWMnlxNwHvFoBTe0cPlnw%3D%3D&trackingId=By6rIDPj%2FjJILz5OKnYXZg%3D%3D&trk=d_flagship3_search_srp_jobs,"Birmingham, Anglia, Wielka Brytania",Pelny etat,Poczatkujacy,"DATA SCIENTIST

£50,000 - 60,000

BIRMINGHAM

Work a crucial role within a customer focussed team, using predictive modelling and statistical analysis to provide insights that can affect this automobile giant!

The Company

A leading retailer within the automobile space who recently has gone through a customer-centric transformation looking to ensure all decisions are made with the customer in mind. They have access to huge data sets and a variety of data sources and the LOVE to use it! This is a great opportunity to join the team as they begin to flourish in their new way of working!

THE ROLE

As a Data Scientist Your Focus Will Be To Design And Run Experiments To Collect And Process Relevant Data For Predictive Models, Specifically You Will Have To
Build and implement predictive models that drive business performance and understanding
Deliver an understanding of who customers are and how they shop including customer journey's, purchasing funnel and targeting effectiveness
Tell a story with the data through data visualisation, highlighting clear strategic direction and insights to stakeholders
Your Skills

The successful candidate will have the following skills and experience:
Strong SQL/R/SAS with previous experience in data extraction, data manipulation and statistical analysis and model deployment
Expert using visualisation tools such as PowerBI or Tableau to provide insights in an aesthetic visual deck
Great communicator and able to convey complicated technical terms in digestible language
The Benefits

£50,000 - 60,000 annual salary, flexible working and competitive benefits.

How To Apply

Please register your interest by sending your CV to Gerard Matthews via the apply link on this page.

Data Analyst, Data Analytics, SAS, Python, R, Data Modelling, Google Analytics, Adobe Analytics, Coremetrics, GA, AA, Clustering, Propensity Modelling, Segmentation, CRM, CRM Analytics, Marketing Analyst, Insight Analyst, Growth Analyst, Customer Analytics",Wielka Brytania,Anglia,Birmingham
Uniting People,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3435285467/?alternateChannel=search&refId=fvWMnlxNwHvFoBTe0cPlnw%3D%3D&trackingId=np5kUyn72yraqNbaKLE8kg%3D%3D&trk=d_flagship3_search_srp_jobs,"Londyn, Anglia, Wielka Brytania",Pelny etat,Poczatkujacy,"Ta oferta została pozyskana z tablicy ofert pracy. Więcej informacji
NEEDS TO BE SECURITY CLEARED/SC CLEARED High proficiency in one or more analytical tools (R, Python, Tableau, Spark, version control)",Wielka Brytania,Anglia,Londyn
Harnham,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3429136108/?alternateChannel=search&refId=fvWMnlxNwHvFoBTe0cPlnw%3D%3D&trackingId=0%2Fqpz8qFs4JYE5gQ1WeLGA%3D%3D&trk=d_flagship3_search_srp_jobs,"Lisbon, Walia, Wielka Brytania",Pelny etat,Poczatkujacy,"LOCATION: Lisbon, Portugal

SALARY: 35.000 - 45.000

THE COMPANY: A global science-based, privately-owned pharmaceutical company is looking for data-oriented talents who have a good understanding of operations to support the company to become more data-driven.

THE ROLE: In this role, you will become a part of the growing area of data science in Global Operations functions including Manufacturing, Supply Chain, Procurement, and Quality Assurance. You will develop industrialized diagnostic, predictive, and prescriptive analytic services for the different functional areas of Global Operations.

The Main Tasks Include
Perform independently elaborate ad-hoc analysis of structured and unstructured data including data collection, data preparation, modeling, evaluation, and deployment.
Turn data into insights and present the results of industrialized analytic services as well as ad-hoc analyses to top management in an adequate format.
YOUR SKILLS And EXPERIENCE
BA degree in Engineering, Science, or another quantitative field.
Demonstrated competency in machine learning, statistics, and statistical validation of results
Excellent coding knowledge in scripting languages (e.g. Python, R) and data processing frameworks (e.g. SQL, Spark).
Experience in the manufacturing, and operational environment.
Proven track record in delivering data science products from prototype to deployment.
Hands-on experience with Jupyter Notebooks and/or Databricks.
Hands-on experience with data visualization tools such as Qlik, Tableau, and/or Power BI.
Data story-telling & communications skills.
Leadership skills & experience.
Fluency in English.
The Benefits
Open organizational culture.
Growth opportunities.
Pension contribution.
Remote working opportunity.
How To Apply

Please register your interest by sending your CV to Ceyda Simsek via the Apply link on this page.",Wielka Brytania,Walia,Lisbon
