Title,Company,Location,Apply
b'Junior Data Scientist',b'Verisk',"b'Cracow, Ma\xc5\x82opolskie, Poland'",b'https://pl.linkedin.com/jobs/view/junior-data-scientist-at-verisk-3407341848?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=wCD33vbV%2Bad%2BLCzI%2BTa7Ww%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Junior Data Scientist',b'Nethone',"b'Warsaw, Mazowieckie, Poland'",b'https://pl.linkedin.com/jobs/view/junior-data-scientist-at-nethone-3391011806?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=gnG6HlJnaIzaARw0omtQwA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Applied Data Scientist',b'dunnhumby',"b'Cracow, Ma\xc5\x82opolskie, Poland'",b'https://pl.linkedin.com/jobs/view/applied-data-scientist-at-dunnhumby-3326744812?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=vmOuzL44e0xU0167h3ZnhA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Scientist',b'Opera',"b'Wroc\xc5\x82aw, Dolno\xc5\x9bl\xc4\x85skie, Poland'",b'https://pl.linkedin.com/jobs/view/data-scientist-at-opera-3315624686?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=5nU0F5sMbznowmL1GjulQw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'AI/ML Engineer/Data Scientist',b'Seargin',"b'Katowice, \xc5\x9al\xc4\x85skie, Poland'",b'https://pl.linkedin.com/jobs/view/ai-ml-engineer-data-scientist-at-seargin-3405230268?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=n9GC2SPk4yNVdM5Q4PlnZA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Scientist',b'speedapp',"b'Warsaw, Mazowieckie, Poland'",b'https://pl.linkedin.com/jobs/view/data-scientist-at-speedapp-3396206660?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=9q65dcEI%2BwE%2FBZSEUg19ZQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Scientist Intern - Advanced Analytics',b'McKinsey & Company',"b'Warsaw, Mazowieckie, Poland'",b'https://pl.linkedin.com/jobs/view/data-scientist-intern-advanced-analytics-at-mckinsey-company-3101739833?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=unCBqqynHZ8Y12XZFeDOwA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Scientist',b'Numlabs - Data Science Services',b'Poland',b'https://pl.linkedin.com/jobs/view/data-scientist-at-numlabs-data-science-services-3397526242?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=ypAdglnH0O%2FF2OTMxCidBQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Machine Learning Engineer',b'Quickchat AI',"b'Warsaw, Mazowieckie, Poland'",b'https://pl.linkedin.com/jobs/view/machine-learning-engineer-at-quickchat-ai-3402454218?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=4%2BxiaXSkwfKHJwT8L8Hqvw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Junior Data Scientist',b'IHS Markit',b'Gdansk Metropolitan Area',b'https://pl.linkedin.com/jobs/view/junior-data-scientist-at-ihs-markit-3246065956?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=5dGUzrHRf1SjYNSBXp5ktw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Machine Learning Engineer',b'Volven AS',"b'Warsaw, Mazowieckie, Poland'",b'https://pl.linkedin.com/jobs/view/machine-learning-engineer-at-volven-3384708759?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=acdRxPItcd0EjSQDa%2FAbeA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Scientist',b'Viercode',"b'Warsaw, Mazowieckie, Poland'",b'https://pl.linkedin.com/jobs/view/data-scientist-at-viercode-3405546714?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=UvOaAmahUVINVYdlYA7kHw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Scientist',b'LM Wind Power',"b'Goleni\xc3\xb3w, Zachodniopomorskie, Poland'",b'https://pl.linkedin.com/jobs/view/data-scientist-at-lm-wind-power-3402910104?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=%2BCP7dVLKBCXjPIN5eMre%2Fg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card'
