Company Name,Title,Role,Role url,Localisation,Type,Level,Country,Region,City
Infosys,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3349735791/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=BRzOC4iKJaqDDS0nfanqLQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Kraków, Woj. Małopolskie, Polska",Pelny etat,Poczatkujacy,Polska,Malopolskie,Krakow
FLYR Labs,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3432813253/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=S%2F73wUsrtyyy2i5vZY%2FBAQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Kraków, Woj. Małopolskie, Polska",Pelny etat,Poczatkujacy,Polska,Malopolskie,Krakow
McKinsey & Company,Data Scientist - Orpheus,Data Scientist,https://www.linkedin.com/jobs/view/3368387711/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=GnP9WM9iAuDzsECnAfrHAQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Wrocław, Woj. Dolnośląskie, Polska",Pelny etat,Poczatkujacy,Polska,Dolnoslaskie,Wroclaw
Digital Turbine,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3203144471/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=T1iE7Q0jjL5b%2FxoMLsdNuA%3D%3D&trk=d_flagship3_search_srp_jobs,"Warszawa, Woj. Mazowieckie, Polska",Pelny etat,Poczatkujacy,Polska,Mazowieckie,Warszawa
Evolution,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3433730149/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=hR34pQicrmAfB81Wna8shQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Warszawa, Woj. Mazowieckie, Polska",Pelny etat,Poczatkujacy,Polska,Mazowieckie,Warszawa
HUBER+SUHNER,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3426929628/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=VyPm7ZYKoVnwVdxNFbgzLQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Tczew, Woj. Pomorskie, Polska",Pelny etat,Poczatkujacy,Polska,Pomorskie,Tczew
Verisk,Junior Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3407341848/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=EhtSJnTG%2Bf6IRH4izN35XQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Kraków, Woj. Małopolskie, Polska",Pelny etat,Poczatkujacy,Polska,Malopolskie,Krakow
Nethone,Junior Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3428671870/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=O25r33Jb4ax1Af3b16%2BOPg%3D%3D&trk=d_flagship3_search_srp_jobs,"Warszawa, Woj. Mazowieckie, Polska",Zlecenie,Poczatkujacy,Polska,Mazowieckie,Warszawa
Sigma IT Poland,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3420423714/?alternateChannel=search&refId=WxwSo2xXjr5cqePC2sJD2A%3D%3D&trackingId=GLdCUbCzGBsW7n%2Fu1Y3zDA%3D%3D&trk=d_flagship3_search_srp_jobs,"Wrocław, Woj. Dolnośląskie, Polska",Zlecenie,Poczatkujacy,Polska,Dolnoslaskie,Wroclaw
Bolt,"Data Scientist, Tools & Workflows",Data Scientist,https://www.linkedin.com/jobs/view/3394073869/?alternateChannel=search&refId=hwbGo%2FeJLj7I0nms%2FOoX9w%3D%3D&trackingId=d9fIBaDBIB%2Fbmy7iKJ5iUw%3D%3D&trk=d_flagship3_search_srp_jobs,"Warszawa, Woj. Mazowieckie, Polska",Pelny etat,Poczatkujacy,Polska,Mazowieckie,Warszawa
